Title,Genre
Deadly Divination (Perfectly Proper Paranormal Museum #7),Paranormal
Don&#39;t Forget the Girl,"Crime,LGBT,Mystery"
Signs: The Secret Language of the Universe,"Psychology,Philosophy,Spirituality,Self Help"
"Desert Star (Renée Ballard, #5; Harry Bosch Universe, #36)","Crime,Mystery"
Grant,Biography
One Day With You,"Fiction,Contemporary,Romance,Chick Lit"
"Blood Promise (Vampire Academy, #4)",Paranormal
The Con Queen of Hollywood: The Hunt for an Evil Genius,"Crime,Nonfiction"
Boys Weekend,"Graphic Novels,Horror,LGBT,Comics"
Supper Club,Graphic Novels
大東京鬼嫁伝 4 [Dai Tōkyō Oniyome-den 4],Manga
Unfair Play: The Battle For Women&#39;s Sport,Science
The Power of Art,Art
"The Shadow Cabinet (Her Majesty&#39;s Royal Coven, #2)","Fantasy,LGBT"
Hippie,"Philosophy,Spirituality"
"Spirit Bound (Vampire Academy, #5)",Paranormal
"Restore Me (Shatter Me, #4)",Romance
Koshersoul: The Faith and Food Journey of an African American Jew,Cookbooks
The Spectacular,"Fiction,Historical Fiction"
Owner of a Lonely Heart: A Memoir,"Memoir,Biography"
The War Came to Us: Life and Death in Ukraine,History
Hooked: How Crafting Saved My Life,"Art,Self Help"
Rita and the Raider (Alien Abduction #18),Science Fiction
"Poverty, by America",History
Wham! George &amp; Me,Music
The Rise of Theodore Roosevelt,Biography
"Something is Killing the Children, Vol. 6","Graphic Novels,Horror,Comics"
The Pursuit of God: The Human Thirst for the Divine,Christian
Loot,"Travel,Historical Fiction,Art"
French Braid,Historical Fiction
約束のネバーランド 9 [Yakusoku no Neverland 9],Manga
Pet,Mystery
James and the Giant Peach,Childrens
Indian-Ish: Recipes and Antics from a Modern American Family,Cookbooks
The Curious Incident of the Dog in the Night-Time,"Fiction,Contemporary,Mystery"
Wedded Wife: a feminist history of marriage,History
You Are a Theologian: An Invitation to Know and Love God Well,"Nonfiction,Christian"
"The Way the World Ends (Warmer, #1)",Science
"Tomorrow, and Tomorrow, and Tomorrow",Contemporary
A Farewell to Arms,Classics
Carrie Soto Is Back,"Sports,Romance"
All the Dangerous Things,Thriller
"In This Moment (Timeless, #2)",Christian
"I Wish You All the Best (I Wish You All the Best, #1)",LGBT
Ultra-Processed People: The Science Behind Food That Isn&#39;t Food,"Business,Nonfiction,Self Help,History,Science"
"The Primal Hunter 5 (The Primal Hunter, #5)",Science Fiction
Long Way Home,Christian
Human Compatible: Artificial Intelligence and the Problem of Control,Business
Varina Palladino&#39;s Jersey Italian Love Story,Humor
Fear the Silence,"Crime,Thriller,Mystery"
Lowdown Road,"Crime,Thriller"
"To Kill a Troubadour (Bruno, Chief of Police, #15)",History
Sex and Vanity,Travel
ゆびさきと恋々 3 [Yubisaki to Renren 3],Manga
"Where'd You Go, Bernadette",Humor
Big Tree,"Science,Art"
Detonation Boulevard,Science Fiction
Flying Angels,History
The Prenup,"Suspense,Thriller"
The Counselors,Horror
"Ready Player One (Ready Player One, #1)",Science Fiction
"8 Rules of Love: How to Find It, Keep It, and Let It Go","Psychology,Philosophy,Spirituality,Self Help"
Eye for An Eye,"Crime,Thriller"
"The Woman They Could Not Silence: One Woman, Her Incredible Fight for Freedom, and the Men Who Tried to Make Her Disappear","Psychology,History"
Yummy: A History of Desserts,Cookbooks
"The Ex Effect (Washington Wolves, #2)",Sports
Karen&#39;s Haircut: A Graphic Novel (Baby-Sitters Little Sister #7) (Baby-Sitters Little Sister Graphix),"Young Adult,Graphic Novels,Childrens,Comics"
Love's Executioner and Other Tales of Psychotherapy,Psychology
Whisper,"Suspense,Thriller,Horror"
The Maidens,"Suspense,Contemporary,Thriller,Mystery"
"The Jasad Heir (The Scorched Throne, #1)","Fantasy,Science Fiction,Romance,Fiction"
A Short History of Nearly Everything,"History,Nonfiction,Science"
Ride or Die,"LGBT,Mystery,Contemporary,Romance,Young Adult"
The Poetry of Robert Frost,Poetry
The 7½ Deaths of Evelyn Hardcastle,"Crime,Thriller,Mystery"
"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",History
Linked,Religion
Marigold and Rose,Poetry
The Coffee Bean: A Simple Lesson to Create Positive Change,"Spirituality,Psychology,Business,Philosophy,Self Help"
Ciao For Now,Travel
"The Secret (The Secret, #1)","Spirituality,Self Help"
